Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
Allan,Allan,Allan,Everton,4,11.0,Groin/Pelvis Injury,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
André Gomes,André Filipe,André Filipe,Everton,20,72.0,Hamstring,36.0,163.0,95.0,0.0,0.0,0.0,20.0,139.0,506.0
B. Godfrey,Ben,Ben,Everton,6,35.0,Groin/Pelvis Injury,11.0,44.0,0.0,0.0,0.0,21.0,0.0,21.0,90.0
C. Tosun,Cenk,Cenk,Everton,6,0.0,Knee Injury,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0
D. Calvert-Lewin,Dominic,Dominic,Everton,9,104.0,Ankle/Foot Injury,42.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,307.0
D. Gray,Demarai,Demarai,Everton,7,23.0,Achilles tendonitis,10.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,96.0
F. Delph,Fabian,Fabian,Everton,33,86.0,Knock,137.0,94.0,75.0,0.0,0.0,7.0,19.0,85.0,1334.0
G. Sigurðsson,Gylfi Þór,Gylfi Þór,Everton,9,0.0,Knock,3.0,31.0,0.0,0.0,0.0,0.0,0.0,18.0,155.0
J. Branthwaite,Jarrad,Jarrad,Everton,1,0.0,Ankle/Foot Injury,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
J. Gbamin,Jean-Philippe,Jean-Philippe,Everton,7,17.0,Thigh Muscle Strain,46.0,239.0,26.0,0.0,0.0,0.0,0.0,16.0,660.0
J. Kenny,Jonjoe,Jonjoe,Everton,4,0.0,Ankle Ligaments,29.0,18.0,42.0,0.0,0.0,7.0,0.0,7.0,89.0
J. Pickford,Jordan,Jordan,Everton,5,5.0,Abdominal Strain,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,122.0
L. Digne,Lucas,Lucas,Everton,13,34.0,Knee Injury,46.0,33.0,20.0,0.0,7.0,0.0,0.0,18.0,184.0
M. Holgate,Mason,Mason,Everton,6,0.0,Ankle/Foot Injury,49.0,8.0,0.0,24.0,0.0,0.0,0.0,41.0,158.0
M. Keane,Michael,Michael,Everton,10,5.0,Head Injury,13.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,196.0
Richarlison,Richarlison,Richarlison,Everton,14,59.0,Knock,16.0,29.0,45.0,7.0,21.0,0.0,27.0,55.0,150.0
