Name,Team,Nationalaty,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_GK,Position_MF,Christmas-played-games
Dele Alli,Tottenham,1,25,15,11,10.1,2,1,2,0,5,187,2357,97,56,25,6,10,17,5,176,22,5,11,290,22,75,150,85,20,281,5,17,186,792,417,17,16,219,13,14,7,44,9,13,27,15,13.9,2,5,3,0,25,617,8053,287,228,61,16,11,30,7,319,22,1,6,793,13,98,451,301,50,761,15,33,552,2619,1170,59,32,745,25,33,24,104,15,18,0,0,0,0,0,1,3
Demarai Gray,Everton,1,25,18,15,14.1,5,2,3,0,36,381,5243,143,130,76,31,10,16,7,157,14,0,6,562,8,49,236,341,51,534,18,38,425,3008,1750,95,22,563,8,27,10,65,3,24,2,1,1.2,0,0,0,0,4,11,116,4,2,2,2,0,2,0,3,0,0,0,16,0,3,3,11,1,15,0,0,13,69,28,2,1,13,0,1,2,2,0,0,1,0,0,0,0,0,1
Diego Llorente,Leeds United,0,28,15,15,13.2,1,0,4,0,5,656,12252,123,354,164,0,31,17,8,166,35,9,48,789,123,479,351,26,5,769,6,8,506,3752,2450,31,5,516,14,14,11,123,25,21,15,14,13.4,1,0,1,0,8,665,13050,108,405,136,2,16,39,16,250,25,13,72,839,158,559,311,20,9,823,5,5,509,3672,2231,32,7,525,24,12,27,117,40,26,0,1,0,0,0,0,1
Dimitris Giannoulis,Norwich City,0,26,11,7,6.6,0,1,1,0,2,311,3794,139,117,44,18,9,14,8,80,18,2,11,392,32,157,174,91,7,338,16,27,260,1305,763,28,3,240,5,18,8,53,3,4,16,16,14.5,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,18,0,0,0,0,1,0,0,0,0,1
Diogo Dalot,Manchester Utd,0,22,10,5,6.6,0,0,2,0,4,306,4987,107,132,62,22,17,18,6,62,6,2,17,376,19,99,209,104,9,318,5,13,199,1009,623,31,6,224,8,1,13,59,15,3,1,1,1.0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
Diogo Jota,Liverpool,0,25,22,17,17.0,12,1,2,0,62,476,5810,227,176,37,8,19,23,4,333,13,3,5,715,11,67,317,377,113,711,23,48,490,2391,1567,81,35,832,24,34,16,89,22,50,30,19,19.6,13,1,2,0,68,655,7520,336,210,67,23,19,18,6,409,20,2,4,934,10,80,420,509,139,930,33,67,685,3886,2413,118,45,999,38,42,12,109,22,54,0,0,0,1,0,0,2
Divock Origi,Liverpool,0,26,10,4,4.4,5,2,0,0,23,59,567,38,10,3,5,2,4,1,45,3,0,0,113,1,4,39,77,32,112,5,9,83,376,195,15,8,126,7,8,4,16,4,3,17,6,6.0,1,2,0,0,13,116,1267,60,39,7,6,2,9,3,84,6,1,6,183,5,21,78,99,19,179,2,7,132,552,297,16,13,227,3,10,6,24,4,14,0,0,0,1,0,0,2
Dominic Calvert Lewin,Everton,1,24,3,3,2.8,3,0,0,0,9,49,375,28,10,2,0,5,0,0,20,1,1,2,84,3,10,34,41,15,77,0,2,34,99,22,1,1,119,3,5,0,12,10,16,39,38,36.7,21,1,3,0,100,669,7196,369,193,53,15,52,17,2,347,31,8,31,1067,43,96,480,545,156,1049,20,46,555,3007,1148,63,50,1604,46,50,13,115,143,147,0,0,0,1,0,0,1
Dominic Thompson,Brentford,1,21,2,2,2.0,0,1,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,7.3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,1,0,0,0,0,3
Donny van de Beek,Manchester Utd,0,24,12,4,4.1,1,0,1,0,4,151,2279,74,54,16,1,6,12,3,55,3,2,5,191,10,60,109,30,5,190,4,6,120,427,182,11,8,146,9,4,9,30,4,5,36,15,16.3,1,2,1,0,8,536,6995,293,190,30,7,12,23,8,177,13,2,9,630,15,110,340,212,42,624,16,21,380,1641,836,38,12,571,13,11,24,88,7,8,0,0,0,0,0,1,3
Douglas Luiz,Aston Villa,0,23,13,12,11.7,0,3,3,0,9,491,7610,185,172,117,11,25,26,10,203,23,5,13,631,37,157,341,167,2,575,8,18,354,1910,908,39,8,382,20,20,16,124,17,16,34,32,31.1,0,3,10,1,26,1431,25159,472,596,302,14,93,63,18,617,60,18,49,1701,109,493,994,330,22,1635,24,33,1022,6002,3334,111,19,1101,69,55,43,375,40,43,0,0,0,0,0,1,2
Dwight Gayle,Newcastle Utd,1,31,4,1,1.1,0,0,0,0,3,4,13,3,0,0,0,0,1,0,9,0,0,0,7,0,0,6,2,1,7,0,0,5,6,0,0,0,10,1,1,0,1,1,0,20,4,6.2,1,1,0,0,16,114,1216,69,30,9,2,7,6,1,90,3,2,0,159,3,16,66,80,26,150,1,3,83,295,148,6,3,231,6,8,4,28,7,16,0,0,0,1,0,0,1
Dwight McNeil,Burnley,1,22,17,17,16.6,0,1,2,0,21,504,7034,163,165,134,58,9,34,9,306,42,9,8,696,29,133,330,298,17,663,28,53,523,3442,1529,83,25,506,14,25,19,128,9,9,40,38,37.9,2,5,2,0,29,1336,18456,452,429,369,136,34,43,11,585,58,6,27,1696,49,281,895,706,51,1542,66,114,1222,8017,3476,172,62,1307,16,51,25,272,22,30,0,0,0,0,0,1,1
Eberechi Eze,Crystal Palace,1,23,2,0,0.4,0,0,0,0,0,29,333,12,10,6,0,1,0,0,7,1,0,0,32,0,3,15,15,0,29,0,0,19,83,46,3,1,33,1,0,0,1,0,0,36,31,30.4,4,6,3,0,38,1158,14737,564,360,174,34,17,38,14,319,32,3,6,1482,27,246,783,610,52,1371,69,108,1181,7617,3974,188,54,1278,22,87,22,203,12,32,0,0,0,0,0,1,3
Eddie Nketiah,Arsenal,1,22,6,3,3.4,5,0,0,0,15,23,354,9,13,1,4,1,3,0,7,1,0,0,36,0,6,18,14,5,36,0,0,28,177,117,5,1,33,6,5,3,3,0,1,29,14,13.6,6,1,2,0,41,216,2536,122,64,9,6,3,11,0,200,13,3,4,342,5,30,148,185,67,328,14,25,239,1122,465,29,14,441,24,25,8,30,8,29,1,0,0,0,0,0,2
Ederson,Manchester City,0,28,22,22,22.0,0,0,2,0,0,631,14664,111,306,211,0,0,0,0,3,1,0,0,660,558,653,7,0,0,544,0,0,395,1570,993,0,0,391,1,6,0,80,0,0,48,48,48.0,0,1,3,0,0,1419,31786,187,669,555,0,2,0,0,7,0,0,3,1493,1294,1486,8,0,0,1215,0,0,894,4044,2380,1,0,876,1,6,0,186,0,0,0,0,0,0,1,0,3
Edinson Cavani,Manchester Utd,0,34,8,2,3.1,1,0,1,0,8,88,1069,46,25,11,0,1,3,2,42,5,0,3,124,5,21,42,66,16,124,0,0,65,157,29,3,4,142,5,1,2,9,2,6,39,21,24.4,17,5,6,0,61,488,6367,243,153,51,11,15,25,5,341,10,1,12,687,14,67,288,347,115,671,13,23,369,1278,402,22,14,918,34,25,19,96,13,27,0,0,0,1,0,0,3
Edouard Mendy,Chelsea,0,29,23,23,23.3,0,0,2,0,0,591,11732,134,235,208,0,1,0,0,2,0,0,0,631,562,627,5,1,0,495,0,0,312,1234,509,0,0,328,1,1,0,86,0,0,44,44,43.5,0,0,2,0,0,1378,29018,266,569,530,0,1,0,0,4,0,0,0,1446,1267,1441,7,0,0,1130,1,1,789,3263,1218,0,1,795,1,5,0,187,0,1,0,0,0,0,1,0,3
Emerson,Tottenham,0,22,16,12,13.0,0,0,3,0,3,578,7120,280,211,55,28,27,50,16,245,27,2,28,723,42,259,297,201,13,611,8,9,373,1774,1037,49,12,418,18,23,20,93,11,18,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Emi Buendía,Aston Villa,0,25,16,12,10.9,1,2,1,0,15,378,4770,190,108,58,16,5,24,5,207,10,1,3,499,16,77,229,229,26,465,12,20,335,1472,806,45,31,416,8,25,18,68,10,17,41,39,37.4,15,15,8,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,79,65,0,0,0,1,0,0,0,0,0,2
Emil Krafth,Newcastle Utd,0,27,7,6,6.0,0,1,1,0,2,169,2332,69,65,30,6,6,4,4,58,8,5,16,209,27,125,66,25,3,187,0,0,114,476,249,7,0,126,6,4,2,22,1,7,20,18,17.8,1,0,4,0,9,557,7198,221,218,90,15,28,23,10,169,33,10,56,704,87,349,253,136,9,594,2,6,332,1603,821,37,4,359,18,11,18,104,22,22,0,1,0,0,0,0,1
Emile Smith Rowe,Arsenal,1,21,19,15,15.1,8,2,0,0,27,473,6254,245,161,46,17,11,13,1,148,11,0,7,613,13,89,316,273,37,593,22,34,449,2685,1791,88,23,537,3,19,11,84,5,12,33,26,24.5,4,7,1,0,24,986,13149,525,358,56,31,23,21,8,353,23,1,18,1200,22,204,549,531,82,1184,19,49,897,4832,2745,125,26,1139,14,27,17,140,9,16,1,0,0,0,0,0,2
Emiliano Martínez,Aston Villa,0,29,16,16,16.0,0,0,1,0,0,517,11174,57,162,297,0,0,0,0,1,0,0,1,541,461,532,10,0,0,360,0,0,241,1110,648,0,0,200,0,5,0,81,0,0,39,39,39.3,0,0,1,0,0,1295,28998,105,388,798,0,0,0,0,6,0,0,0,1380,1192,1368,15,0,0,998,0,0,655,3044,1829,0,0,592,1,7,0,178,0,0,0,0,0,0,1,0,2
Emmanuel Dennis,Watford,0,24,17,14,13.6,7,5,6,0,33,277,2516,151,73,23,13,10,25,7,275,17,2,3,489,8,61,196,266,68,474,23,58,321,1611,1048,57,25,533,44,24,13,72,34,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Enock Mwepu,Brighton,0,23,10,6,6.2,2,1,1,0,13,176,1867,92,53,21,5,11,13,4,108,10,1,6,241,13,53,121,86,17,240,3,7,143,702,392,15,6,205,11,8,7,41,5,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Eric Bailly,Manchester Utd,0,27,6,5,4.7,0,0,1,0,3,158,2904,39,85,32,0,11,10,3,34,10,5,16,204,42,119,94,1,0,198,1,3,122,630,297,10,2,123,5,3,4,31,5,3,21,19,18.9,0,1,4,0,5,804,16092,198,453,148,0,26,17,4,101,29,18,78,968,162,560,451,21,5,951,9,11,620,4004,2120,44,1,652,24,11,14,125,40,20,0,1,0,0,0,0,3
Eric Dier,Tottenham,1,27,18,17,16.5,0,0,0,0,6,768,14938,196,387,176,0,42,8,1,63,24,16,78,908,196,566,372,17,8,885,0,1,551,2908,1609,25,0,648,5,6,3,96,41,25,38,37,37.6,0,0,4,0,16,2001,38503,536,938,500,4,94,31,14,211,61,38,196,2339,405,1370,1055,64,22,2273,3,5,1451,8090,4720,86,2,1647,27,18,20,325,107,58,0,1,0,0,0,0,3
Erik Pieters,Burnley,0,33,6,4,4.2,0,0,0,0,2,47,641,22,12,10,9,0,8,4,29,4,1,2,64,10,26,28,14,0,57,0,1,31,143,76,1,0,34,6,1,10,7,1,1,25,17,19.2,0,1,3,0,8,580,7764,212,222,117,25,41,40,19,213,44,9,42,744,62,245,378,161,9,625,6,8,344,1629,868,35,12,377,40,30,32,129,20,12,0,0,1,0,0,0,1
Ethan Pinnock,Brentford,0,28,17,17,16.0,1,1,0,0,10,762,12143,229,366,153,15,67,25,8,111,16,4,78,923,136,503,352,108,34,801,1,1,403,2313,1208,16,4,490,2,7,18,154,68,35,45,45,44.1,2,2,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,27,0,0,0,0,1,0,0,0,0,3
Ezri Konsa,Aston Villa,1,24,17,16,15.7,2,0,2,1,12,488,8249,135,248,97,1,30,12,2,96,28,15,45,623,119,354,248,52,29,606,5,6,355,1497,725,15,3,397,7,22,8,110,37,29,37,35,35.9,2,0,3,0,22,1244,24313,284,658,280,2,63,34,11,225,65,45,193,1606,331,942,640,76,31,1560,6,10,896,3463,1382,22,5,972,22,57,22,289,90,62,0,1,0,0,0,0,2
Fabian Delph,Everton,1,32,6,3,2.8,0,0,1,0,1,125,2250,54,39,29,1,5,11,4,59,3,0,4,161,9,49,100,21,0,159,4,5,99,487,198,7,2,100,5,2,7,30,0,1,10,4,4.6,0,0,2,0,3,234,3586,100,98,31,3,4,5,1,30,4,0,3,264,7,77,162,45,0,254,8,12,198,894,452,17,2,212,5,9,5,29,0,0,0,0,0,0,0,1,1
Fabian Schär,Newcastle Utd,0,30,8,8,7.8,0,1,2,0,4,301,5243,61,108,128,2,15,8,5,56,9,5,36,386,71,240,155,27,4,363,2,4,204,1297,823,14,2,213,13,5,6,67,16,18,19,13,14.1,1,0,4,1,11,583,10909,148,227,203,3,25,19,7,110,24,13,63,737,100,424,312,63,11,684,7,13,443,2470,1474,34,6,441,22,15,10,123,20,25,0,1,0,0,0,0,1
Fabinho,Liverpool,0,28,18,14,14.7,1,1,4,0,8,863,14329,324,389,117,4,33,39,11,236,25,5,27,1023,39,205,690,172,10,1009,3,5,641,2699,1292,60,10,714,27,26,24,167,27,16,42,38,38.5,0,0,7,0,15,2457,45725,760,1232,432,3,74,100,35,441,55,16,131,2831,229,1123,1665,208,15,2772,7,13,1813,9116,5127,184,16,2036,55,37,69,398,69,61,0,0,0,0,0,1,2
Federico Fernández,Newcastle Utd,0,32,7,5,5.8,0,0,0,0,6,214,4194,46,114,53,0,9,1,0,33,11,9,23,268,59,177,93,12,10,261,0,0,170,845,506,0,1,179,2,2,1,34,10,5,25,25,24.1,0,0,4,0,6,837,14632,221,387,209,10,60,35,14,183,51,32,166,1114,281,724,337,90,13,1046,0,0,550,2272,914,10,4,620,16,15,19,158,46,36,0,1,0,0,0,0,1
Fernandinho,Manchester City,0,36,15,6,7.7,1,1,1,0,9,379,5920,147,173,52,6,7,18,2,81,6,1,6,435,17,82,301,76,8,429,1,2,311,1558,795,33,7,343,14,16,14,62,10,11,36,22,24.2,1,4,12,0,24,1265,21242,510,541,199,8,48,43,17,311,23,2,37,1429,46,226,1075,233,16,1398,14,19,1011,5041,3020,168,8,1111,60,26,40,170,37,22,0,0,0,0,0,1,3
Fernando Marçal,Wolves,0,32,10,10,9.6,0,0,2,0,5,508,6908,208,213,68,35,16,23,8,163,25,2,34,634,40,209,256,203,8,543,4,8,346,1583,955,57,9,380,21,9,14,81,16,11,13,7,6.9,0,0,2,0,2,370,5445,168,136,56,10,14,10,2,72,19,2,23,444,26,151,211,106,4,379,7,9,251,1124,649,21,8,264,16,4,4,56,9,11,0,1,0,0,0,0,1
Ferrán Torres,Manchester City,0,21,7,7,5.7,3,1,0,0,21,82,1029,38,27,8,2,3,1,0,51,7,1,0,124,0,5,41,81,30,117,5,8,84,325,115,3,6,154,2,1,1,13,1,5,36,24,23.4,13,3,1,0,62,509,6653,255,174,56,40,11,20,9,280,20,1,8,730,14,61,266,450,98,708,28,54,544,2589,1402,84,35,776,23,29,9,84,14,26,0,0,0,1,0,0,3
Folarin Balogun,Arsenal,1,20,4,2,1.5,0,0,1,0,7,8,60,4,3,1,1,1,0,0,21,1,0,1,23,1,3,10,12,6,23,0,2,16,50,16,1,2,34,2,2,3,3,1,2,6,0,0.9,2,1,0,0,5,16,155,9,3,1,0,1,0,0,14,0,0,0,32,0,2,11,20,10,31,0,1,21,52,12,0,3,36,1,2,0,1,2,1,0,0,0,1,0,0,2
Francisco Sierralta,Watford,0,24,5,5,4.7,0,0,1,0,1,122,2693,13,72,34,0,5,3,2,12,3,0,17,153,45,125,34,0,0,149,1,1,89,362,170,0,0,98,5,2,3,20,5,2,29,27,27.5,1,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,23,17,0,0,0,0,1,0,0,0,0,2
Francisco Trincão,Wolves,0,21,15,10,9.1,1,0,0,0,23,264,3494,117,101,27,8,12,12,1,173,13,1,0,396,2,50,197,195,29,385,20,50,291,1566,907,43,16,397,8,12,9,61,4,10,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Frank Onyeka,Brentford,0,23,18,10,10.0,0,0,3,0,13,225,3093,99,88,26,9,16,19,1,168,14,1,10,323,15,72,165,104,13,315,8,13,188,1038,552,25,14,236,38,22,14,65,10,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Fraser Forster,Southampton,1,33,3,3,3.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13.0,0,0,0,0,0,274,4532,38,59,169,0,0,0,0,3,0,0,4,305,253,303,2,0,0,203,0,0,121,555,325,0,0,115,1,5,0,40,0,0,0,0,0,0,1,0,2
Fred,Manchester Utd,0,28,17,16,15.4,2,1,4,0,12,875,13800,358,364,121,3,27,45,12,406,34,7,20,1069,42,256,650,200,10,1046,5,14,633,2212,992,38,21,754,28,25,28,179,11,7,48,42,41.5,1,2,10,1,36,2300,40616,820,993,401,9,28,109,36,878,93,10,44,2757,106,727,1653,555,20,2689,34,44,1822,8549,4160,149,47,2029,105,62,75,407,12,23,0,0,0,0,0,1,3
Freddie Woodman,Newcastle Utd,1,24,5,5,5.0,0,0,0,0,0,123,2481,8,34,80,0,0,0,0,1,0,0,0,128,123,128,0,0,0,79,0,0,54,350,215,0,0,49,0,0,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fábio Silva,Wolves,0,19,10,2,1.9,0,2,1,0,6,12,77,4,2,2,0,1,0,0,8,0,0,0,16,0,3,5,10,6,16,0,0,8,30,20,1,0,25,4,5,0,3,2,5,36,15,18.8,4,3,2,0,57,306,3155,163,85,28,6,18,10,3,261,12,1,5,491,11,54,232,238,89,469,15,32,300,1173,580,28,20,682,31,29,7,67,32,76,1,0,0,0,0,0,1
Gabriel Dos Santos,Arsenal,0,24,16,15,15.0,2,0,2,0,15,797,14926,217,414,158,1,26,18,5,87,21,15,58,925,188,549,398,34,17,903,2,2,635,3576,1904,45,0,706,14,15,14,87,34,17,32,31,31.2,3,1,5,1,20,1940,35455,527,950,432,3,53,30,11,196,49,28,142,2239,325,1184,1149,74,30,2206,5,11,1584,9946,5505,141,6,1711,34,45,19,255,92,57,0,1,0,0,0,0,2
Gabriel Jesus,Manchester City,0,24,20,13,14.1,5,8,1,0,41,523,6733,263,204,27,19,10,13,3,214,17,1,2,702,8,58,277,408,102,690,23,39,556,2768,1428,108,32,738,29,11,8,76,10,21,42,30,31.6,14,4,3,0,77,851,9755,509,218,47,14,16,27,7,375,25,3,4,1180,9,62,489,704,182,1140,55,94,899,4578,2314,140,58,1375,40,69,21,119,17,67,0,0,0,1,0,0,3
Giovani Lo Celso,Tottenham,0,25,12,6,6.1,1,1,0,0,11,128,1555,58,32,19,4,1,8,3,62,6,0,0,173,1,21,86,76,9,161,4,6,124,664,336,19,10,150,6,8,4,18,0,3,25,16,15.0,3,1,5,0,25,823,11576,359,291,137,7,16,49,14,386,15,1,10,1009,22,168,569,347,35,938,23,31,686,3784,2126,81,32,816,32,34,34,155,20,29,1,0,0,0,0,0,3
Granit Xhaka,Arsenal,0,29,10,9,8.3,0,1,2,1,8,415,6577,169,165,64,1,31,17,7,105,10,3,5,479,20,104,300,94,13,465,5,7,308,1365,700,33,6,344,15,8,8,84,15,10,45,42,41.3,1,2,9,1,24,2860,51981,1014,1289,494,9,123,75,40,437,36,8,68,3135,134,821,1989,540,17,3016,17,28,2275,11519,6293,216,23,2474,67,56,50,399,61,41,0,0,0,0,0,1,2
Grant Hanley,Norwich City,0,30,16,16,15.2,1,0,1,0,9,661,13118,154,330,162,0,49,26,9,130,25,17,72,833,152,531,314,21,15,805,4,6,463,1887,878,14,1,511,10,14,21,128,51,16,44,43,43.5,1,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,63,25,0,0,0,0,1,0,0,0,0,1
Hakim Ziyech,Chelsea,0,28,18,13,11.6,3,4,3,0,42,463,5419,209,149,74,45,8,17,4,194,12,1,5,619,6,35,257,362,56,582,19,36,459,2028,933,53,21,533,25,28,11,81,8,12,39,23,21.1,6,4,5,0,56,945,12195,412,300,177,75,13,19,7,298,20,2,3,1139,12,97,527,574,56,1081,24,48,859,3442,1672,102,24,1077,33,27,15,127,6,25,0,0,0,0,0,1,3
Hamza Choudhury,Leicester City,1,24,3,2,1.7,0,0,0,0,0,44,583,16,19,7,0,4,6,2,30,1,0,2,63,3,18,47,1,0,62,1,1,31,96,17,0,2,39,2,3,2,8,5,0,22,10,9.9,1,0,1,0,9,493,7643,204,197,75,4,36,21,7,112,21,3,10,585,15,142,373,93,6,574,0,1,375,1489,593,17,4,449,15,10,16,96,10,5,0,0,0,0,0,1,2
Harrison Ashby,West Ham,0,20,3,2,2.0,0,0,0,0,0,62,792,20,29,11,8,4,6,2,12,1,0,5,75,5,22,26,29,0,69,2,3,52,211,100,4,1,53,0,1,5,8,1,1,2,1,0.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,3
Harry Kane,Tottenham,1,28,21,19,19.5,7,2,3,0,46,338,4173,167,102,40,14,12,9,3,154,6,4,15,500,18,45,264,224,66,474,20,37,331,1743,792,37,20,659,22,21,5,59,34,48,46,41,42.1,28,16,2,0,172,1055,13772,438,351,193,49,64,20,5,423,32,14,43,1555,54,153,799,714,188,1497,50,85,1003,5195,2798,164,73,1974,31,82,16,170,101,138,0,0,0,1,0,0,3
Harry Maguire,Manchester Utd,1,28,18,18,17.5,1,0,5,1,16,932,18279,250,449,224,1,42,22,9,97,24,19,88,1116,167,566,559,59,26,1086,2,4,685,4056,2138,57,5,765,14,14,11,156,61,26,52,51,51.7,2,1,15,0,53,2823,56185,707,1452,625,4,142,41,19,265,60,34,234,3300,508,1680,1634,247,69,3215,8,15,2035,14176,8450,249,12,2322,65,54,29,487,182,58,0,1,0,0,0,0,3
Harry Winks,Tottenham,1,25,9,5,5.4,0,1,2,0,0,138,2234,49,55,26,1,3,5,2,58,9,3,3,172,7,51,103,26,1,168,2,4,111,556,228,9,3,121,6,7,4,21,5,1,28,20,20.5,2,2,6,0,17,1219,20002,486,480,211,10,43,36,16,272,28,7,18,1369,37,305,942,191,4,1338,9,15,918,3860,1807,54,10,1053,33,24,21,186,16,12,0,0,0,0,0,1,3
Harvey Barnes,Leicester City,1,24,20,18,16.3,4,4,2,0,42,433,4448,228,132,33,29,11,15,2,166,14,1,5,644,8,60,289,367,90,642,16,51,500,3362,2354,125,34,699,17,25,12,67,13,21,35,29,28.9,13,4,1,0,78,813,9395,432,247,69,28,37,27,4,273,33,6,15,1214,22,140,556,677,151,1211,38,99,923,6573,4654,232,59,1320,28,54,18,169,31,42,1,0,0,0,0,0,2
Harvey Elliott,Liverpool,1,18,4,3,2.8,0,0,0,0,7,184,2598,89,71,18,5,1,1,0,68,7,0,3,223,1,18,108,113,17,216,2,7,164,742,429,25,1,183,1,6,1,30,1,3,1,1,0.6,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Haydon Roberts,Brighton,1,19,3,3,2.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Hugo Lloris,Tottenham,0,34,17,17,17.0,0,0,0,0,0,396,8925,70,96,224,0,0,0,0,1,0,0,0,445,408,444,1,0,0,290,0,0,149,630,344,0,0,140,0,3,0,61,0,1,47,47,47.7,0,0,0,0,0,1167,23808,220,302,638,0,1,0,0,3,0,0,2,1234,1122,1230,4,0,0,832,1,1,508,2086,1189,0,0,472,0,6,0,167,0,0,0,0,0,0,1,0,3
Hwang Hee chan,Wolves,0,25,15,12,12.2,4,0,1,0,12,317,4313,165,97,39,7,10,15,8,152,9,0,6,443,8,68,240,176,39,438,17,37,336,2002,1042,52,20,471,21,22,8,54,6,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Hélder Costa,Leeds United,0,27,2,1,1.2,0,0,0,0,3,4,65,3,1,0,3,0,0,0,9,0,0,0,6,0,1,3,2,0,6,0,0,2,6,0,0,0,8,2,5,0,0,0,1,23,14,13.8,3,3,0,0,19,328,3298,180,93,23,21,8,30,9,265,19,0,9,502,13,114,204,228,46,497,19,41,343,1943,1213,56,32,507,24,21,17,68,4,25,0,0,0,0,0,1,1
